iter	Passed	Remaining
619	2130	1306
620	2132	1301
621	2137	1299
622	2141	1296
623	2145	1292
624	2151	1290
625	2153	1286
626	2155	1282
627	2158	1278
628	2159	1274
629	2161	1269
630	2166	1266
631	2169	1263
632	2173	1259
633	2176	1256
634	2181	1254
635	2184	1250
636	2188	1246
637	2191	1243
638	2195	1240
639	2198	1236
640	2201	1233
641	2203	1228
642	2206	1225
643	2210	1221
644	2211	1217
645	2214	1213
646	2216	1209
647	2219	1205
648	2223	1202
649	2227	1199
650	2230	1195
651	2238	1194
652	2241	1191
653	2243	1187
654	2249	1184
655	2251	1180
656	2254	1177
657	2258	1173
658	2268	1174
659	2272	1170
660	2278	1168
661	2281	1164
662	2285	1161
663	2287	1157
664	2288	1153
665	2296	1151
666	2298	1147
667	2300	1143
668	2301	1138
669	2302	1134
670	2304	1130
671	2307	1126
672	2308	1121
673	2311	1118
674	2313	1114
675	2315	1109
676	2317	1105
677	2320	1102
678	2322	1097
679	2323	1093
680	2325	1089
681	2327	1085
682	2330	1081
683684	2327	10684685	2331	1067
686	2335	1064
687	2343	1062
688	2345	1058
689	2349	1055
690	2356	1053
691	2357	1049
692	2362	1046
693	2366	1043
694	2372	1041
695	2377	1038
696	2380	1034
697	2383	1031
698	2386	1027
699	2389	1023
700	2394	1021
701	2397	1017
702	2399	1013
703	2400	1009
704	2401	1004
705	2405	1001
706	2409	998
707	2412	994
708	2415	991
709	2418	987
710	2420	983
711	2421	979
712	2423	975
713	2427	972
714	2428	967
715	2430	963
716	2431	959
717	2432	955
718	2433	950
719	2433	946
720	2434	942
721	2435	937
722	2438	934
723	2439	930
724	2442	926
725	2444	922
726	2445	918
727	2447	914
728	2449	910
729	2452	906
730	2454	903
731	2456	899734	2518	908
735	2523	905
736	2527	902
737	2531	898
738	2535	895
739	2537	891
740	2539	887
7739	2485	8737740	2488	869
741	2494	867
742	2498	864
743	2503	861
744	2506	857
745	2509	854
746	2512	850
747	2519	848
748	2524	845
749	2527	842
750	2529	838
751	2532	835
752	2534	831
753	2535	827
754	2536	823
755	2538	819
756	2539	815
757	2541	811
758	2542	8077759	2545	8037760	2549	8007761	2552	797
762	2554	793765	2614	798
766	2617	795
767	2621	791
768	2622	787
769	2626	784
770	2628	780
771	2630	776
772	2632	773
773	2636	769
774	2640	766
775	2642	762
776	2646	759
777	2650	756
778	2652	752
779	2658	749
780	2662	746
781	2664	742
782	2666	738
783	2670	735
784	2674	732
785	2676	728
786	2677	724
787	2678	720
788	2684	717
789	2684	713
790	2685	709
7789	2619	6967790	2623	693
791	2630	690
792	2633	687
793	2636	684
794	2638	680
795	2639	676
796	2642	672
797	2644	669
798	2646	665
799	2647	661
800	2648	658
801	2649	654
802	2650	650
803	2653	646
804	2655	643
805	2656	639808	2739	646
809	2741	643
810	2742	639
811	2745	635
812	2747	631
813	2750	628
814	2752	624
815	2758	622
816	2760	618
817	2762	614
818	2766	611
819	2768	607
820	2772	604
821	2774	600
822	2778	597
823	2780	593
824	2784	590
825	2786	586
826	2787	583
827	2790	579
828	2798	577
829	2800	573
830	2802	569
831	2803	566
832	2805	562
833	2808	559
834	2812	555
835	2813	551
836	2815	548
837	2817	835	838	2820	836	2761	537
837	2765	534
838	2768	531
839	2774	528
840	2776	524
841	2778	521
842	2780	517
843	2783	514
844	2785	511
845	2789	507
846	849	2861	504
850	2870	502
851	2874	499
852	2879	496
853	2883	492
854	2885	489
855	2886	485
856	2887	481
857	2891	478
858	2895	475
859	2899	471
860	2901	468
861	2905	465
862	2908	461
863	2914	458
864	2915	454
865	2915	451
866	2916	447
867	2921	444
868	2926	441
869	2928	437
870	2930	434
871	2933	430
872	2935	426
873	2940	423
874	2944	420
875	2945	416
876	2946	413
877	2949	409
878	2954	406
879	2957	403
880	2961	400
881	2973	397
882	2974	394
883	2975	390
884	2978	387
885	2980	383
886	2982	379
887	2984	376
888	2987	372
889	2989	369
890	2990	365
891	2990	362
892	2991	358
893	2995	355
894	2998	351
895	3001	348
896	3004	344
897	3007	341
898	3010	338
899	3012	334
900	3016	331
901	3019	328
902	3022	324
903	3026	321
904	3029	317
905	3033	314
906	3036	311
907	3038	307
908	3041	304
909	3044	301
910	3046	297
911	3050	294
912	3052	290
913	3059	287
914	3060	284
915	3061	280
916	3062	277
917	3064	273
9916	2991	2709917	2997	267
918	3000	2649919	3003	261922	3086	257
923	3088	254
924	3089	250
925	3090	247
9924	3016	2449925	3018	2419926	3020	237929	3104	233
930	3105	230
931	3106	226
932	3107	223
933	3108	219
9932	3032	2179933	3035	214
934	3038	211
935	3042	208
936	3044	204
937	3048	201
938	3050	198
939	3053	194
940	3056	191
941	3060	188
942	3063	185
943	3066	181
944	3069	178
945	3071	175
946	3072	171
947	3075	168
948	3077	165
949	3079	162
950	3091	159
951	3095	156
952	3097	152
953	3100	149
954	3103	146
955	3111	143
956	3117	140
957	3120	136
958	3123	133
959	3126	130
960	3128	126
961	3129	123
962	3131	120
963	3133	117
964	3136	113
965	3139	110
966	3146	107
967	3156	104
968	3164	101
969	3170	98
970	3171	94
971	3173	91
972	3176	88
973	3181	84
974	3186	81
975	3190	78
976	3193	75
977	3197	71
978	3200	68
979	3203	65
980	3205	62
981	3208	58
982	3217	55
983	3218	52
984	3220	49
985	3222	45
986	3228	42
987	3233	39
988	3237	36
989	3239	32
990	3242	29
991	3246	26
992	3247	22
993	3254	19
994	3256	16
995	3257	13
996	3259	9
997	3263	6
998	3264	3
999	3265	0
8	3218	3
999	3220	0
